antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'S03', 'S02'})",frozenset({'S01'}),0.04114285714285714,0.22542857142857142,0.03428571428571429,0.8333333333333334,3.6966624419095906,1.0,0.025010938775510208,4.647428571428573,0.760786650774732,0.14760147601476015,0.7848272470183205,0.4927122940430926
"frozenset({'S15', 'S11'})",frozenset({'S12'}),0.036571428571428574,0.152,0.029142857142857144,0.796875,5.2425986842105265,1.0,0.023584,4.174769230769231,0.839973949247552,0.1827956989247312,0.7604658018867925,0.4943021616541353
"frozenset({'S03', 'S01'})",frozenset({'S02'}),0.04342857142857143,0.15342857142857144,0.03428571428571429,0.7894736842105263,5.145545427815348,1.0,0.0276225306122449,4.021214285714286,0.8422341696535245,0.21089630931458697,0.7513188979874593,0.5064686856806822
"frozenset({'S06', 'S08'})",frozenset({'S07'}),0.039142857142857146,0.15485714285714286,0.030285714285714287,0.7737226277372262,4.996363832251461,1.0,0.024224163265306124,3.7349861751152065,0.8324384674510069,0.18499127399650958,0.7322613918459404,0.4846472917283917
"frozenset({'S08', 'S07'})",frozenset({'S06'}),0.03942857142857143,0.15857142857142856,0.030285714285714287,0.7681159420289855,4.843974409191801,1.0,0.024033469387755104,3.6286607142857137,0.8261311214124567,0.18057921635434415,0.7244162299156024,0.47955346650998826
"frozenset({'S12', 'S15'})",frozenset({'S11'}),0.038857142857142854,0.15714285714285714,0.029142857142857144,0.7500000000000001,4.772727272727273,1.0,0.023036734693877552,3.3714285714285728,0.8224336107808164,0.17465753424657535,0.7033898305084747,0.46772727272727277
frozenset({'S04'}),frozenset({'S05'}),0.15571428571428572,0.15685714285714286,0.09571428571428571,0.6146788990825688,3.918717935863371,1.0,0.07128938775510203,2.188156462585034,0.8821829936611358,0.4413702239789195,0.5429942889830535,0.6124396316906469
frozenset({'S13'}),frozenset({'S01'}),0.1377142857142857,0.22542857142857142,0.08257142857142857,0.599585062240664,2.659756296378104,1.0,0.05152669387755103,1.9344219096965216,0.7236878612981856,0.2942973523421589,0.48304969304401474,0.4829357503852243
frozenset({'S12'}),frozenset({'S11'}),0.152,0.15714285714285714,0.08942857142857143,0.5883458646616542,3.744019138755981,1.0,0.06554285714285714,2.0474885844748862,0.8642775333052022,0.4070221066319895,0.5115967885816236,0.5787183868762816
frozenset({'S07'}),frozenset({'S06'}),0.15485714285714286,0.15857142857142856,0.09057142857142857,0.584870848708487,3.688374721585054,1.0,0.06601551020408163,2.026907936507936,0.8624315602451139,0.40641025641025647,0.5066376809778284,0.5780210099398291
frozenset({'S02'}),frozenset({'S01'}),0.15342857142857144,0.22542857142857142,0.08914285714285715,0.5810055865921787,2.5773378365939488,1.0,0.05455567346938776,1.8486438095238094,0.722919208702199,0.30769230769230765,0.4590629114985708,0.4882214244747966
frozenset({'S14'}),frozenset({'S09'}),0.15742857142857142,0.22285714285714286,0.08771428571428572,0.5571687840290381,2.500116338591838,1.0,0.05263020408163266,1.7549414519906323,0.7121278896506629,0.2998046875,0.4301804206256005,0.4753792638093909
frozenset({'S10'}),frozenset({'S09'}),0.15628571428571428,0.22285714285714286,0.08485714285714285,0.5429616087751371,2.436366193221769,1.0,0.05002775510204081,1.7003885714285714,0.6987586669266317,0.2883495145631068,0.41189912893859554,0.4618654197721839
frozenset({'S03'}),frozenset({'S02'}),0.10057142857142858,0.15342857142857144,0.04114285714285714,0.40909090909090906,2.6663280853224984,1.0,0.025712326530612242,1.4326593406593404,0.694832698009318,0.19328859060402684,0.3019973613966188,0.3386236668359573
"frozenset({'S01', 'S02'})",frozenset({'S03'}),0.08914285714285715,0.10057142857142858,0.03428571428571429,0.38461538461538464,3.824300699300699,1.0,0.025320489795918368,1.4615714285714285,0.8107904642409034,0.22058823529411764,0.31580490665624084,0.3627622377622378
frozenset({'S15'}),frozenset({'S12'}),0.10228571428571429,0.152,0.038857142857142854,0.37988826815642457,2.4992649220817404,1.0,0.02330971428571428,1.3674954954954956,0.6682330475156325,0.18037135278514588,0.26873616527880256,0.3177636829503927
frozenset({'S08'}),frozenset({'S07'}),0.10457142857142857,0.15485714285714286,0.03942857142857143,0.3770491803278689,2.434819430161515,1.0,0.023234938775510208,1.3566766917293234,0.6581115951277712,0.1792207792207792,0.26290470965096047,0.3158308632266651
frozenset({'S08'}),frozenset({'S06'}),0.10457142857142857,0.15857142857142856,0.039142857142857146,0.3743169398907104,2.3605572785900657,1.0,0.02256081632653062,1.3448159700561448,0.6436819623717273,0.17474489795918371,0.25640383348641305,0.3105818933687786
frozenset({'S15'}),frozenset({'S11'}),0.10228571428571429,0.15714285714285714,0.036571428571428574,0.3575418994413408,2.2752666328085325,1.0,0.020497959183673472,1.3119254658385096,0.6243535168682369,0.1641025641025641,0.23776157560837044,0.29513458608430676
"frozenset({'S06', 'S07'})",frozenset({'S08'}),0.09057142857142857,0.10457142857142857,0.030285714285714287,0.33438485804416407,3.1976694075261594,1.0,0.0208145306122449,1.3452647257955317,0.7557187653750169,0.1837088388214905,0.2566518835847397,0.31200117219148094
"frozenset({'S12', 'S11'})",frozenset({'S15'}),0.08942857142857143,0.10228571428571429,0.029142857142857144,0.3258785942492013,3.1859639102575543,1.0,0.019995591836734695,1.331680433310765,0.7535084319262692,0.17926186291739893,0.2490690897110772,0.3053973976832599
