viewing_session_id,basket
1,"S02,S05,S08"
2,"S04,S05"
3,"S01,S02,S03"
4,"S09,S14"
5,"S07,S12"
6,"S01,S04,S05"
7,"S11,S12"
8,"S09,S10"
9,"S09,S10"
10,S02
11,S11
12,"S09,S14"
13,"S01,S02,S03"
14,"S09,S14"
15,"S01,S02,S03"
16,S01
17,"S09,S14"
18,"S04,S07,S09,S14"
19,S15
20,"S12,S15"
21,"S01,S02,S03"
22,"S04,S05"
23,"S07,S14"
24,"S06,S07,S08"
25,"S09,S14"
26,S02
27,"S04,S06,S09"
28,"S07,S08,S12"
29,"S06,S07,S08"
30,"S01,S02,S03"
31,"S11,S12"
32,"S09,S10"
33,"S03,S12"
34,"S06,S07"
35,"S01,S09,S11,S13"
36,S07
37,"S03,S12"
38,S09
39,"S01,S02"
40,"S09,S14"
41,"S09,S10"
42,"S01,S02,S03"
43,"S01,S02,S05"
44,"S08,S12,S13,S15"
45,"S11,S12"
46,"S02,S08"
47,"S01,S02"
48,"S01,S13"
49,"S11,S12"
50,"S06,S07,S12"
51,"S03,S05,S08"
52,"S11,S12,S15"
53,"S11,S12"
54,"S09,S14"
55,"S09,S14"
56,"S01,S13"
57,S09
58,"S01,S02"
59,"S01,S13"
60,S04
61,"S10,S12"
62,"S06,S15"
63,"S04,S11,S14"
64,"S04,S05"
65,"S03,S04,S06,S13"
66,"S01,S13"
67,"S09,S10,S14"
68,"S11,S12"
69,"S01,S04,S07"
70,"S09,S10"
71,"S01,S02"
72,"S11,S12"
73,"S01,S02"
74,"S11,S12"
75,"S09,S10"
76,"S01,S13"
77,"S11,S12"
78,S01
79,"S04,S05"
80,"S01,S02"
81,"S06,S07,S08,S12"
82,"S09,S14"
83,"S09,S14"
84,"S10,S15"
85,"S04,S05"
86,"S01,S02,S03"
87,"S06,S07"
88,"S06,S10"
89,"S05,S08,S11"
90,"S01,S02,S03,S12"
91,"S11,S12"
92,"S09,S10"
93,"S09,S10"
94,"S09,S10"
95,"S09,S11,S14"
96,"S11,S12"
97,S14
98,"S01,S13"
99,"S01,S13"
100,"S06,S07,S08"
101,"S02,S09,S10"
102,"S01,S13"
103,"S01,S02"
104,"S03,S05,S06"
105,"S01,S02"
106,"S02,S06,S11,S15"
107,"S04,S05"
108,"S03,S06,S11,S14"
109,"S05,S08,S12"
110,"S01,S13"
111,"S09,S14"
112,"S09,S10"
113,"S11,S12"
114,"S01,S13"
115,"S05,S09"
116,"S06,S07"
117,"S02,S05,S06,S07"
118,"S02,S10"
119,"S06,S07,S08"
120,"S04,S05"
121,S14
122,"S04,S05"
123,"S01,S04,S08,S14"
124,"S02,S08"
125,"S09,S11,S12"
126,"S06,S07,S08"
127,"S02,S04,S05"
128,"S04,S05"
129,"S04,S05"
130,"S09,S10"
131,"S06,S07,S08"
132,"S01,S06,S12,S14"
